"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"443",2021,"North Dakota",-4.09211254340162,0.553341340861239,21.7168151022571,0.567318287299593,1.28398971649112,569.77656781289
"444",2022,"North Dakota",-4.07360859389304,0.59232401099648,18.6745653643013,1.46282777943692,1.8630684801465,262.632081589457
"445",2010,"Ohio",-5.89135299083274,0.81014487628886,18.3835483492805,1.47861736352887,1.82738172085783,1109.20111472655
"446",2011,"Ohio",-8.80354042933029,1.41331948687074,26.99046218526,3.17230098908866,2.94348299799044,2016.15074723746
"447",2012,"Ohio",-5.85895721544567,0.937975438115216,21.1606763869019,1.87196315452423,2.2383568222449,1176.07554742594
"448",2013,"Ohio",-5.8350276253882,0.554127997221414,23.9935362006857,2.09291985367069,2.198180934857,2674.87321986472
"449",2014,"Ohio",-5.28959337745684,0.822378130000583,20.5982984014083,0.498488445999967,1.71447113114017,984.526707168164
"450",2015,"Ohio",-5.349697797693,0.222835017651438,33.765653685752,2.30566145354683,1.37898726084334,3110.72654158167
"451",2016,"Ohio",-5.14314156854887,0.477743486182941,28.9485395434869,1.98409334823286,1.65354055605301,3668.59068962834
"452",2017,"Ohio",-5.0303398525687,0.638527364939024,25.4065989583764,1.69457704312338,1.74622416418355,2087.24443600061
"453",2018,"Ohio",-5.0107899847452,0.324091274889228,32.9668670667986,2.31424459866286,0.911949346232231,2660.49278764827
"454",2019,"Ohio",-5.02950311290649,0.590199788750341,28.8770265940002,2.06293486945902,1.71928930292866,1836.25139394
"455",2020,"Ohio",-5.32218523993296,-0.146692607583256,14.3425745716346,1.32415852063465,22.6970099316936,2238.51099162401
"456",2021,"Ohio",-3.79941028865892,-0.0411373207551238,22.4163597841665,1.52444898828017,0.46596695222895,1031.31197230226
"457",2022,"Ohio",-3.84800992436367,0.514605946101108,17.8267998598127,1.52200514257328,1.17998531868719,2256.09984511915
"458",2010,"Oklahoma",-6.14104188051059,1.31886149830722,18.6976565042557,2.51609588009383,1.89193235289209,241.470042442514
"459",2011,"Oklahoma",-6.46479313552758,1.19141570403866,30.7554516031422,2.86487393583834,2.37880186450677,162.947763385627
"460",2012,"Oklahoma",-6.22727425900843,1.3222783915029,24.8913208351758,2.52018871148316,2.27198577874391,181.100250481308
"461",2013,"Oklahoma",-6.69975152827563,1.3967371801263,24.5693238861575,2.774596078417,2.61234126700427,466.105793304961
"462",2014,"Oklahoma",-5.069610058827,1.07478244146288,27.4553469641012,2.20681922881411,1.95719505821243,522.502311990923
"463",2015,"Oklahoma",-8.59632114663253,1.69209126198431,24.9673614180358,3.03073316903328,3.13642452660102,379.355582557937
