"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"122",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.25,-1.43143367104184
"123",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.3,-0.0342790339104447
"124",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.35,1.30257646691225
"125",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.4,2.564902077035
"126",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.45,3.77792093107027
"127",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.5,4.9530626558441
"128",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.55,6.0994160930231
"129",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.6,7.31547085835411
"130",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.65,8.55241700631931
"131",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.7,9.86061670633383
"132",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.75,11.2628515256395
"133",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.8,12.8364074087633
"134",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.85,14.6530671474325
"135",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.9,16.8799255717903
"136",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.95,20.2317335600951
"137",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.975,23.161597455534
"138",2023-12-09,1,"wk inc flu hosp",2023-12-16,"02","quantile",0.99,26.4655547258682
"139",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.01,-23.6049055895045
"140",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.025,-19.2601624478378
"141",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.05,-15.6558398342514
"142",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.1,-11.3225174153592
"143",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.15,-8.50028945035674
"144",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.2,-6.25211481786629
"145",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.25,-4.35320860529535
"146",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.3,-2.51106299632337
"147",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.35,-0.864461794320873
"148",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.4,0.68409869719817
"149",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.45,2.16306410773174
"150",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.5,3.60286460891641
"151",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.55,5.01736996228771
"152",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.6,6.48971693838565
"153",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.65,7.97227693892123
"154",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.7,9.61126452705462
"155",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.75,11.3205754802453
"156",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.8,13.1831994351526
"157",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.85,15.500003058227
"158",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.9,18.3350361659082
"159",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.95,22.5170906529464
"160",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.975,26.38676978702
"161",2023-12-09,2,"wk inc flu hosp",2023-12-23,"02","quantile",0.99,30.6299246156643
"162",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.01,-28.2902466624866
"163",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.025,-23.2721882680289
"164",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.05,-18.9284354961425
"165",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.1,-14.0242662586616
"166",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.15,-10.6368213392205
"167",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.2,-8.04739231605305
"168",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.25,-5.8121253306891
"169",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.3,-3.78884913483106
