"pred_ili[14,13]","pred_ili[15,13]","pred_ili[16,13]","pred_ili[17,13]","pred_ili[18,13]","pred_ili[19,13]"
0.0115211,0.0139113,0.0207182,0.014964,0.017894,0.0187097
0.00885615,0.0116597,0.00931612,0.00762009,0.008553,0.00857811
0.014138,0.0115702,0.019766,0.00991597,0.0135059,0.0115807
0.00896639,0.0156876,0.018415,0.0100945,0.0131447,0.0127102
0.0124011,0.0127264,0.0115108,0.00671474,0.00833584,0.00902497
0.0118839,0.0142193,0.0149659,0.0166715,0.0151637,0.00945877
0.0129131,0.0164374,0.0325939,0.0308749,0.0457108,0.0765691
0.0084569,0.0105545,0.0129758,0.0157425,0.0135586,0.0143959
0.0116628,0.0115637,0.0150521,0.0133564,0.0157279,0.0237088
0.0110574,0.0142893,0.0170041,0.0153206,0.0206572,0.0192859
